,Context,English,Spanish,Finnish,German,Japanese,Portuguese,French,Italian,Korean,Turkish,Polish,,,,,,,,,,,,,,,
clan_vault_cant_fit_item,,Your clan's vault is too full to hold this item!,¡La cámara acorazada de tu clan está demasiado llena para guardar este objeto!,Klaanisi holvi on liian täynnä tämän esineen säilytykseen!,"Der Tresor deines Clans ist zu voll, um diesen Gegenstand aufzunehmen!",,O cofre do seu clã está cheio demais para guardar esse item!,Le coffre de votre clan est plein !,,,Klanınızın kasası bu eşyayı alamayacak kadar dolu!,"Skarbiec twojego klanu jest zbyt pełny, aby pomieścić ten przedmiot!",,,,,,,,,,,,,,,
upgrade_required,,You need the <b>{0}</b> upgrade to do this!,¡Necesitas la mejora <b>{0}</b> para hacerlo!,Tarvitset <b>{0}</b>-päivityksen tämän tekemiseen!,"Du brauchst die <b>{0}</b> Verbesserung, um dies zu tun!",,Você precisa da atualização <b>{0}</b> para fazer isso!,Vous avez besoin de la mise à niveau <b>{0}</b> pour le faire !,,,Bunu yapmak için <b>{0}</b> yükseltmesine ihtiyacın var!,"Potrzebujesz ulepszenia <b>{0}</b>, aby to zrobić!",,,,,,,,,,,,,,,
group_combat_info_keys_used,,Total kills: {0} | Keys saved with the <b>Yoink</b> upgrade: {1},Total de muertes: {0} | Claves guardadas con la actualización de <b>Yoink</b>: {1},Tappoja yhteensä: {0} | Avaimet tallennettu <b>Yoink</b> päivityksellä: {1},Tötungen insgesamt: {0} | Mit dem <b>Yoink</b>-Upgrade gesparte Schlüssel: {1},,Total de mortes: {0} | Chaves salvas com a atualização <b>Yoink</b>: {1},Nombre total de morts : {0} | Clés sauvegardées avec la mise à jour <b>Yoink</b> : {1},,,Toplam öldürme: {0} | <b>Yoink</b> yükseltmesi ile kurtarılan anahtarlar: {1},Łączna liczba zabójstw: {0} | Klucze zapisane dzięki aktualizacji <b>Yoink</b>: {1},,,,,,,,,,,,,,,
two_factor_authentication_disabled_info,,"You haven't registered a phone number to secure your account.<br><br>In this view, you can set up SMS authentication to secure your account and prevent unauthorized access to it by linking your phone number to the account. When logging in from unrecognized devices, a one-time code will be sent to your device and will be required to log you in.<br><br>Be sure to include your country code in the number.","No has registrado un número de teléfono para proteger tu cuenta.<br><br>En esta vista, puedes configurar la autenticación por SMS para proteger tu cuenta y evitar el acceso no autorizado a ella vinculando tu número de teléfono a la cuenta. Al iniciar sesión desde dispositivos no reconocidos, se enviará a tu dispositivo un código de un solo uso que será necesario para iniciar sesión.<br><br>Asegúrate de incluir el código de tu país en el número.","Et ole rekisteröinyt puhelinnumeroa tilisi suojaamiseksi.<br><br>Tässä näkymässä voit määrittää tekstiviestitodennuksen, jolla voit suojata tilisi ja estää tilisi luvattoman käytön yhdistämällä puhelinnumerosi tiliin. Kun kirjaudut sisään tunnistamattomista laitteista, laitteeseesi lähetetään kertakäyttökoodi, joka vaaditaan kirjautumiseen.<br><br> Muista sisällyttää numeroon maakoodisi.","Du haben keine Telefonnummer registriert, um Dein Konto zu sichern.<br><br>In dieser kannst Du die SMS-Authentifizierung einrichten, um dein Konto zu sichern und unbefugten Zugriff darauf zu verhindern, indem Du deine Telefonnummer mit dem Konto verknüpfen. Wenn Du dich von nicht erkannten Geräten aus anmelden, wird ein einmaliger Code an dein Gerät gesendet, mit dem Du dich anmelden musst.<br><br>Geben Sie bei der Nummer unbedingt Ihre Landesvorwahl an.",,"Você não registrou um número de telefone para proteger sua conta.<br><br>Nessa visualização, você pode configurar a autenticação por SMS para proteger sua conta e impedir o acesso não autorizado a ela, vinculando seu número de telefone à conta. Ao fazer login a partir de dispositivos não reconhecidos, um código único será enviado ao seu dispositivo e será necessário para fazer o login.<br><br>Certifique-se de incluir o código do seu país no número.","Vous n'avez pas enregistré de numéro de téléphone pour sécuriser votre compte.<br><br>Vous pouvez configurer l'authentification par SMS pour sécuriser votre compte et empêcher tout accès non autorisé en associant votre numéro de téléphone au compte. Lorsque vous vous connectez à partir d'appareils non reconnus, un code à usage unique sera envoyé à votre appareil et sera nécessaire pour vous connecter.<br><br>Veillez à inclure le code de votre pays dans le numéro.",,,"Hesabınızın güvenliğini sağlamak için bir telefon numarası kaydetmediniz.<br><br>Bu görünümde, hesabınızın güvenliğini sağlamak ve telefon numaranızı hesaba bağlayarak hesabınıza yetkisiz erişimi önlemek için SMS kimlik doğrulamasını ayarlayabilirsiniz. Tanınmayan cihazlardan giriş yaparken, cihazınıza tek seferlik bir kod gönderilecek ve giriş yapmanız için gerekli olacaktır.<br><br>Ülke kodunuzu numaraya eklediğinizden emin olun.","Nie zarejestrowałeś numeru telefonu, aby zabezpieczyć swoje konto.<br><br>W tym widoku możesz skonfigurować uwierzytelnianie SMS, aby zabezpieczyć swoje konto i zapobiec nieautoryzowanemu dostępowi do niego poprzez powiązanie numeru telefonu z kontem. Podczas logowania z nierozpoznanych urządzeń, jednorazowy kod zostanie wysłany na Twoje urządzenie i będzie wymagany do zalogowania.<br><br>Pamiętaj, aby podać swój numer kierunkowy kraju w numerze.",,,,,,,,,,,,,,,
two_factor_authentication_enabled_info,,"You're secure!<br><br>When logging on from unknown devices, you'll be sent a one-time verification code to the number you registered with your account which will be used to authenticate your session. ","<br><br>Cuando inicies sesión desde dispositivos desconocidos, se te enviará un código de verificación de un solo uso al número que registraste en tu cuenta, que se utilizará para autenticar tu sesión.","Olet turvassa!<br><br>Kirjautuessasi tuntemattomista laitteista, tilillesi rekisteröityyn numeroon lähetetään kertaluonteinen vahvistuskoodi, jota käytetään istuntosi todentamiseen.","Dein Account ist sicher!<br><br>Bei der Anmeldung von unbekannten Geräten aus wird ein einmaliger Verifizierungscode an die Nummer gesendet, die du für dein Konto registriert hast, um Deine Sitzung zu authentifizieren.",,"Você está seguro!<br><br>Ao fazer login em dispositivos desconhecidos, você receberá um código de verificação único para o número registrado em sua conta, que será usado para autenticar sua sessão.","Vous avez lié votre téléphone avec votre compte. <br><br>lorsque vous vous connecterez à partir d'appareils inconnus, un code de vérification à usage unique sera envoyé au numéro que vous avez enregistré avec votre compte",,,"Güvendesiniz!<br><br>Bilinmeyen cihazlardan oturum açarken, hesabınıza kaydettiğiniz numaraya oturumunuzu doğrulamak için kullanılacak tek seferlik bir doğrulama kodu gönderilecektir.","Jesteś bezpieczny!<br><br>Podczas logowania z nieznanych urządzeń na numer zarejestrowany na koncie zostanie wysłany jednorazowy kod weryfikacyjny, który posłuży do uwierzytelnienia sesji.",,,,,,,,,,,,,,,
enter_phone_number,,Enter phone number....,Introduzca el número de teléfono....,Kirjoita puhelinnumero....,Rufnummer eingeben....,,Digite o número de telefone....,saisissez votre numéro de téléphone....,,,Telefon numarasını girin....,Wprowadź numer telefonu....,,,,,,,,,,,,,,,
send_code_to_number,,Send code to number,Enviar código al número,Lähetä koodi numeroon,Code an die Nummer senden,,Enviar código para o número,Envoyer le code par SMS,,,Kodu numaraya gönder,Wyślij kod na numer,,,,,,,,,,,,,,,
enter_verification_code,,Enter received verification code...,Introduzca el código de verificación recibido...,Syötä vastaanotettu vahvistuskoodi...,Erhaltenen Bestätigungscode eingeben...,,Digite o código de verificação recebido...,Entrez le code reçu... ,,,Alınan doğrulama kodunu girin...,Wprowadź otrzymany kod weryfikacyjny...,,,,,,,,,,,,,,,
enter_code_and_register_number,,Enter code and register number,Introduzca el código y registre el número,Syötä koodi ja rekisteröi numero,Code eingeben und Nummer registrieren,,Digite o código e registre o número,Valider le code et enregistré le numéro,,,Kodu ve kayıt numarasını girin,Wprowadź kod i zarejestruj numer,,,,,,,,,,,,,,,
phone_number_submitted_popup_message,,"If your submitted phone number was correct, you'll receive a verification code at any moment now.<br><br>Enter the code into the lower input field and press the <b>Enter code and register number</b> button to complete your two-factor authentication setup.","Si el número de teléfono que ha enviado es correcto, recibirá un código de verificación en cualquier momento.<br><br>Introduzca el código en el campo de entrada inferior y pulse el botón <b>Introducir código y número de registro</b> para completar la configuración de la autenticación de dos factores.","Jos lähettämäsi puhelinnumero oli oikein, saat vahvistuskoodin hetkenä minä hyvänsä.<br><br>Syötä koodi alempaan syöttökenttään ja paina <b>Syötä koodi ja rekisterinumero</b> -painiketta, jotta kaksitekijätodennuksen asennus on valmis.","Wenn Die eingegebene Telefonnummer korrekt war, erhalten Sie jeden Moment einen Verifizierungscode.<br><br>Geben Sie den Code in das untere Eingabefeld ein und drücken Sie die Schaltfläche <b>Code und Registrierungsnummer eingeben</b>, um die Einrichtung der Zwei-Faktor-Authentifizierung abzuschließen.",,"Se o número de telefone enviado estiver correto, você receberá um código de verificação a qualquer momento.<br><br>Digite o código no campo de entrada inferior e pressione o botão <b>Digitar código e registrar número</b> para concluir a configuração da autenticação de dois fatores.","Si le numéro de téléphone que vous avez soumis est correct, vous recevrez un code de vérification d'un moment à l'autre.<br><br>Entrez le code dans le champ de saisie inférieur et appuyez sur le bouton <b>Entrer le code et le numéro d'enregistrement</b> pour terminer la configuration de l'authentification à deux facteurs.",,,"Gönderdiğiniz telefon numarası doğruysa, şu anda bir doğrulama kodu alacaksınız.<br><br>Kodu alttaki giriş alanına girin ve iki faktörlü kimlik doğrulama kurulumunuzu tamamlamak için <b>Kodu girin ve numarayı kaydedin</b> düğmesine basın.","Jeśli przesłany numer telefonu był prawidłowy, w każdej chwili otrzymasz kod weryfikacyjny.<br><br>Wprowadź kod w dolnym polu wprowadzania i naciśnij przycisk <b>Wprowadź kod i zarejestruj numer</b>, aby zakończyć konfigurację uwierzytelniania dwuskładnikowego.",,,,,,,,,,,,,,,
two_factor_authentication_setup_final_confirmation,,Proceeding will permanently set up two-factor authentication linked to the phone number you provided.<br><br>Are you sure you want to do this?,"Al continuar, se configurará de forma permanente la autenticación de doble factor vinculada al número de teléfono que ha proporcionado.<br><br>¿Está seguro de que desea hacer esto?","Jatkaminen määrittää pysyvästi kaksitekijätodennuksen, joka on sidottu antamaasi puhelinnumeroon.<br><br>Oletko varma, että haluat tehdä tämän?","Wenn Sie fortfahren, wird die Zwei-Faktor-Authentifizierung dauerhaft mit der von Ihnen angegebenen Telefonnummer verknüpft.<br><br>Sind Sie sicher, dass Sie dies tun möchten?",,Continuar configurará permanentemente a autenticação de dois fatores vinculada ao número de telefone que você forneceu.<br><br>Tem certeza de que deseja fazer isso?,L'authentification à deux facteurs sera définitivement liée au numéro de téléphone que vous avez fourni.<br><br>Etes-vous sûr de vouloir faire cela ?,,,"Devam etmek, girdiğiniz telefon numarasına bağlı iki faktörlü kimlik doğrulamayı kalıcı olarak ayarlayacaktır.<br><br>Bunu yapmak istediğinizden emin misiniz?",Kontynuowanie spowoduje trwałe skonfigurowanie uwierzytelniania dwuskładnikowego powiązanego z podanym numerem telefonu.<br><br>Czy na pewno chcesz to zrobić?,,,,,,,,,,,,,,,
two_factor_authentication,,Two-factor authentication,Autenticación de dos factores,Kahden tekijän todennus,Zwei-Faktor-Authentifizierung,,Autenticação de dois fatores,Authentification à deux facteurs,,,İki faktörlü kimlik doğrulama,Uwierzytelnianie dwuskładnikowe,,,,,,,,,,,,,,,
phone_number_successfully_registered,,Your number has been registered!<br><br>Good job on keeping your account secure!,Tu número ha sido registrado<br><br>¡Buen trabajo manteniendo tu cuenta segura!,Numerosi on rekisteröity!<br><br>Hyvää työtä tilisi suojaamisessa!,Ihre Nummer wurde registriert!<br><br>Gut dass Sie Ihr Konto sicher halten!,,Seu número foi registrado!<br><br>Bom trabalho em manter sua conta segura!,Votre numéro a été enregistré !<br><br> Votre compte est désormais plus sécurisé !,,,Numaranız kaydedildi!<br><br>Hesabınızı güvende tuttuğunuz için tebrikler!,"Twój numer został zarejestrowany!<br><br>Dobra robota, jeśli chodzi o bezpieczeństwo konta!",,,,,,,,,,,,,,,
submitted_two_factor_authentication_code_invalid,,The code you submitted was invalid.,El código que has enviado no es válido.,Antamasi koodi oli virheellinen.,Der von Ihnen eingegebene Code war ungültig.,,O código que você enviou era inválido.,Le code que vous avez soumis n'est pas valide.,,,Gönderdiğiniz kod geçersiz.,Podany kod był nieprawidłowy.,,,,,,,,,,,,,,,
authentication_required,,Authentication required,Autenticación requerida,Tunnistautuminen vaaditaan,Authentifizierung erforderlich,,Autenticação necessária,Authentification requise,,,Kimlik doğrulama gerekli,Wymagane uwierzytelnienie,,,,,,,,,,,,,,,
authentication_required_info,,A one-time code has been sent to your registered phone number.<br><br>Please enter it in the below field to continue with your login.,Se ha enviado un código de un solo uso a su número de teléfono registrado.<br><br>Introdúzcalo en el siguiente campo para continuar con el inicio de sesión.,Rekisteröityyn puhelinnumeroosi on lähetetty kertakäyttökoodi.<br><br>Syötä se alla olevaan kenttään jatkaaksesi kirjautumista.,"Ein einmaliger Code wurde an Deine registrierte Telefonnummer gesendet.<br><br>Bitte gebe ihn in das untenstehende Feld ein, um mit der Anmeldung fortzufahren.",,Um código único foi enviado para o seu número de telefone registrado.<br><br>Digite-o no campo abaixo para continuar com o seu login.,Un code à usage unique a été envoyé à votre numéro de téléphone. <br><br>Veuillez le saisir dans le champ ci-dessous pour vous connecter.,,,Kayıtlı telefon numaranıza bir kerelik bir kod gönderildi.<br><br>Girişinize devam etmek için lütfen aşağıdaki alana girin.,"Na zarejestrowany numer telefonu został wysłany jednorazowy kod.<br><br>Wprowadź go w poniższym polu, aby kontynuować logowanie.",,,,,,,,,,,,,,,
authenticate_code,,Authenticate code,Autenticar código,Tunnistautumiskoodi,Authentifizierungscode,,Código de autenticação,Code d'authentification,,,Kimlik doğrulama kodu,Kod uwierzytelniający,,,,,,,,,,,,,,,
invalid_phone_number,,We were unable to send a SMS to your phone number. Make sure that the country code and formatting is correct.,No hemos podido enviar un SMS a su número de teléfono. Asegúrese de que el código de país y el formato son correctos.,"Emme pystyneet lähettämään tekstiviestiä puhelinnumeroosi. Varmista, että maakoodi ja muotoilu ovat oikein.","Es war uns nicht möglich, eine SMS an die gegebene Telefonnummer zu senden. Vergewissern Sie sich, dass die Landesvorwahl und die Formatierung korrekt sind.",,Não foi possível enviar um SMS para o seu número de telefone. Certifique-se de que o código do país e a formatação estejam corretos.,Nous n'avons pas pu envoyer de SMS à votre numéro de téléphone. Assurez-vous que le code pays et le formatage sont corrects.,,,Telefon numaranıza SMS gönderemedik. Ülke kodunun ve biçimlendirmenin doğru olduğundan emin olun.,"Nie mogliśmy wysłać wiadomości SMS na Twój numer telefonu. Upewnij się, że kod kraju i formatowanie są prawidłowe.",,,,,,,,,,,,,,,
initial_phone_number_registration_success,,A code was sent to your submitted phone number.<br><br>Enter the code into the lower input field and press the <b>Enter code and register number</b> button to complete your two-factor authentication setup.,Se ha enviado un código a su número de teléfono.<br><br>Introduzca el código en el campo de entrada inferior y pulse el botón <b>Introducir código y registrar número</b> para completar la configuración de la autenticación de dos factores.,"Lähetettyyn puhelinnumeroosi lähetettiin koodi.<br><br>Syötä koodi alempaan syöttökenttään ja paina <b>Syötä koodi ja rekisteröi numero</b> -painiketta, jotta voit saattaa päätökseen kaksitekijätodennuksen käyttöönoton.","Ein Code wurde an Ihre angegebene Telefonnummer gesendet.<br><br>Geben Sie den Code in das untere Eingabefeld ein und klicken Sie auf die Schaltfläche <b>Code eingeben und Nummer registrieren</b>, um die Einrichtung der Zwei-Faktor-Authentifizierung abzuschließen.",,Um código foi enviado para o número de telefone que você forneceu.<br><br>Digite o código no campo de entrada inferior e pressione o botão. <b>Digite o código e registre o número</b> para concluir a configuração da autenticação de dois fatores.,Un code a été envoyé à votre numéro de téléphone.<br><br>Entrez le code dans le champ de saisie à droite et appuyer sur le bouton à gauche pour terminer votre configuration d'authentification à deux facteurs.,,,Gönderdiğiniz telefon numarasına bir kod gönderildi.<br><br>Kodu alttaki giriş alanına girin ve iki faktörlü kimlik doğrulama kurulumunuzu tamamlamak için <b>Kodu girin ve numarayı kaydedin</b> düğmesine basın.,"Kod został wysłany na podany numer telefonu.<br><br>Wprowadź kod w dolnym polu wprowadzania i naciśnij przycisk <b>Wprowadź kod i zarejestruj numer</b>, aby zakończyć konfigurację uwierzytelniania dwuskładnikowego.",,,,,,,,,,,,,,,
max,,Max,Max,Max,Max,,Máximo,Max,,,Maks,Max,,,,,,,,,,,,,,,
previous,,Previous,Anterior,Edellinen,Vorherige,,Anterior,Précédent,,,Önceki,Poprzedni,,,,,,,,,,,,,,,
suggestions,,Suggestions,Sugerencias,Ehdotukset,Vorschläge,,Sugestões,Suggestions,,,Öneriler,Sugestie,,,,,,,,,,,,,,,
send_item_to_player_confirmation,,Are you sure you want to send {0}x {1} to {2}?,¿Estás seguro de que quieres enviar {0}x {1} a {2}?,"Oletko varma, että haluat lähettää {0}x {1} osoitteeseen {2}?","Sind Sie sicher, dass Sie {0}x {1} an {2} senden wollen?",,Tem certeza de que deseja enviar {0}x {1} para {2}?,Etes-vous sûr de vouloir envoyer {0}x {1} à {2} ?,,,{0}x {1}'i {2}'ye göndermek istediğinizden emin misiniz?,Czy na pewno chcesz wysłać {0}x {1} do {2}?,,,,,,,,,,,,,,,
open_rotg_lobbies,,Open Reckoning of the Gods lobbies,Abre los lobbies de Reckoning of the Gods,Avaa Reckoning of the Gods -aulatilat,Lobbys von Abrechnung mit denn Göttern öffnen,,Abrir lobbies do Julgamento dos Deuses,Ouvrir le groupe de Reckoning of the Gods,,,Tanrıların Hesaplaşması lobilerini aç,Otwórz lobby Rozliczenie Bogów,,,,,,,,,,,,,,,
open_raid_lobby_entry_text,,{0}'s raid | {1}/{2} members | {3}m ago,Incursión de {0} | {1}/{2} miembros | hace {3}m,{0}:n ratsia | {1}/{2} jäsentä | {3}v sitten,{0}'s Schlachtzug | {1}/{2} Mitglieder | {3}m ago,,Expedição de {0} | {1}/{2} membros | {3}m atrás,raid de {0} | {1}/{2} membres | il y a {3}m,,,{0}'ın baskını | {1}/{2} üye | {3}m önce,{0}'s raid | {1}/{2} members | {3}m ago,,,,,,,,,,,,,,,
there_are_currently_no_active_lobbies,,There are currently no active lobbies,Actualmente no hay lobbies activos,Tällä hetkellä ei ole aktiivisia auloja,Derzeit gibt es keine aktiven Lobbys,,"No momento, não há lobbies ativos",Il n'y a actuellement aucun groupe actif,,,Şu anda aktif lobi bulunmamaktadır,Obecnie nie ma aktywnych lobby,,,,,,,,,,,,,,,
view_open_lobbies,,View open lobbies,Ver lobbies abiertos,Näytä avoimet aulat,Offene Lobbys anzeigen,,Ver lobbies abertos,Voir les groupes ouverts,,,Açık lobileri görüntüleyin,Zobacz otwarte lobby,,,,,,,,,,,,,,,
player_requests_to_join_your_party,,{0} wants to join your party,{0} quiere unirse a tu grupo,{0} haluaa liittyä ryhmääsi,{0} möchte deiner Gruppe beitreten,,{0} quer entrar em seu grupo,{0} veut rejoindre votre groupe,,,{0} partinize katılmak istiyor,{0} chce dołączyć do twojej drużyny,,,,,,,,,,,,,,,
open_lobby_to_other_players,,Make lobby public,Hacer lobby público,Tee aulasta julkinen,Lobby öffentlich machen,,Tornar o lobby público,Rendre le groupe public,,,Lobiyi herkese açık hale getirin,Upublicznij lobby,,,,,,,,,,,,,,,
invite_player,,Invite player,Invitar jugador,Kutsu pelaaja,Spieler einladen,,Convidar jogador,Inviter le joueur,,,Oyuncu davet et,Zaproś gracza,,,,,,,,,,,,,,,
your_lobby_is_now_open,,Your lobby is now open and discoverable by other players.<br><br>You can press the button again in {0} minutes to make your lobby the top discoverable lobby.,Tu sala está ahora abierta y visible para otros jugadores.<br><br>Puedes pulsar el botón de nuevo en {0} minutos para hacer que tu sala sea la más visible.,"Aulasi on nyt auki ja muiden pelaajien löydettävissä.<br><br>Voit painaa painiketta uudelleen {0} minuutin kuluttua, jotta aulasi olisi ylin löydettävissä oleva aula.","Deine Lobby ist jetzt offen und kann von anderen Spielern entdeckt werden.<br><br>Du kannst die Schaltfläche in {0} Minuten erneut drücken, um deine Lobby zur ersten entdeckbaren Lobby zu machen.",,Seu lobby agora está aberto e pode ser descoberto por outros jogadores.<br><br>Você pode pressionar o botão novamente em {0} minutos para tornar seu lobby o principal lobby que pode ser descoberto.,"Votre groupe est maintenant ouvert et accessible par les autres joueurs.<br><br>Vous pouvez appuyer à nouveau sur le bouton dans {0} minutes pour faire de votre groupe, un groupe privé.",,,Lobiniz artık açık ve diğer oyuncular tarafından keşfedilebilir.<br><br>Lobinizi en üste taşımak ve görünürlüğünü arttırmak için {0} dakika içinde düğmeye tekrar basabilirsiniz.,"Twoje lobby jest teraz otwarte i możliwe do odkrycia przez innych graczy.<br><br>Możesz nacisnąć przycisk ponownie za {0} minut, aby Twoje lobby stało się najlepszym lobby możliwym do odkrycia.",,,,,,,,,,,,,,,
add_player_to_party_question,,Add {0} to your party?,¿Has añadido a {0} a tu grupo?,Haluatko lisätä {0} ryhmääsi?,Willst du {0} zu deiner Gruppe hinzugefügen?,,Adicionar {0} ao seu grupo?,Ajouter {0} à votre groupe ?,,,Partinize {0} mı eklediniz?,Dodałeś {0} do swojej drużyny?,,,,,,,,,,,,,,,
you_joined_a_raid,,You've joined {0}'s raid!,¡Te has unido a la incursión de {0}!,Olet liittynyt {0}:n raidiin!,Du bist {0}'s Schlachtzug beigetreten!,,Você entrou na expedição de {0}!,Vous avez rejoint le raid de {0} !,,,{0}'ın baskınına katıldınız!,Dołączyłeś do rajdu {0}!,,,,,,,,,,,,,,,
empty_in_here,,No applications received yet,Aún no se han recibido solicitudes,Hakemuksia ei ole vielä vastaanotettu,Noch keine Anträge erhalten,,Nenhuma solicitação foi recebida ainda,Aucune demande n'a encore été reçue,,,Henüz başvuru alınmadı,Nie otrzymano jeszcze żadnych zgłoszeń,,,,,,,,,,,,,,,
view_join_requests,,View join requests,Ver solicitudes de unión,Näytä liittymishakemukset,Beitrittsanträge anzeigen,,Ver solicitações de participação,Voir les demandes d'adhésion,,,Katılma taleplerini görüntüle,Zobacz prośby o dołączenie,,,,,,,,,,,,,,,
application_to_party_fail,,Your application couldn't be processed. The lobby no longer exists or you've already sent an application to it.,Tu solicitud no ha podido ser procesada. El grupo ya no existe o ya le has enviado una solicitud.,Hakemustasi ei voitu käsitellä. Aulaa ei ole enää olemassa tai olet jo lähettänyt sinne hakemuksen.,Dein Antrag konnte nicht bearbeitet werden. Die Lobby existiert nicht mehr oder du hast bereits eine Bewerbung an sie geschickt.,,Sua solicitação não pôde ser processada. O lobby não existe mais ou você já enviou uma solicitação para ele.,Votre demande n'a pas pu être traitée. Le groupe n'existe plus ou vous lui avez déjà envoyé une demande.,,,Başvurunuz işleme alınamadı. Lobi artık mevcut değil veya zaten bir başvuru gönderdiniz.,Twoje zgłoszenie nie mogło zostać przetworzone. Lobby już nie istnieje lub wysłałeś już do niego wniosek.,,,,,,,,,,,,,,,
application_to_party_success,,"You've successfully submitted a request to join the party.<br><br>Note that if you enter another lobby or go into combat, your application will expire.","Has enviado correctamente una solicitud para unirte al grupo.<br><br>Ten en cuenta que si entras en otro vestíbulo o entras en combate, tu solicitud caducará.","Olet onnistuneesti lähettänyt pyynnön liittyä ryhmään.<br><br>Huomaa, että jos menet toiseen aulaan tai taisteluun, hakemuksesi raukeaa.","Du hast erfolgreich einen Antrag gestellt, der Gruppe beizutreten.<br><br>Bitte beachte, dass dein Antrag abläuft, wenn du eine andere Lobby betrittst oder in den Kampf gehst.",,"Você enviou com sucesso uma solicitação para entrar no grupo.<br><br>Observe que, se você entrar em outro lobby ou entrar em combate, sua solicitação expirará.","Vous avez soumis, avec succès, une demande pour rejoindre le groupe. <br><br>Notez que si vous entrez dans un autre lobby ou si vous allez au combat, votre demande expirera.",,,"Partiye katılmak için başarılı bir istek gönderdiniz.<br><br>Başka bir lobiye girerseniz veya savaşa girerseniz, başvurunuzun sona ereceğini unutmayın.","Pomyślnie przesłałeś wniosek o dołączenie do drużyny.<br><br>Uwaga: jeśli wejdziesz do innego lobby lub weźmiesz udział w walce, Twój wniosek wygaśnie.",,,,,,,,,,,,,,,
open_combat_lobby_entry_text,,{0}'s party | {1} | {2}/{3} members | {4}m ago,Fiesta de {0} | {1} | {2}/{3} miembros | hace {4}m,{0}'s party | {1} | {2}/{3} jäsentä | {4}v sitten,{0}'s party | {1} | {2}/{3} Mitglieder | {4}m vor,,{0}'s party | {1} | {2}/{3} membros | {4}m atrás,Groupe de {0} | {1} | {2}/{3} membres | {4}m ago,,,{0}'ın partisi | {1} | {2}/{3} üye | {4}m önce,{0}'s party | {1} | {2}/{3} członków | {4}m temu,,,,,,,,,,,,,,,
open_combat_zone_lobbies,,Open <b>{0}</b> lobbies,Vestíbulos <b>{0}</b> abiertos,Avaa <b>{0}</b> aulatilat,Offene <b>{0}</b> Lobbys,,Abrir <b>{0}</b> lobbies,Ouvrir <b>{0}</b> groupe,,,<b>{0}</b> lobileri açın,Otwarte <b>{0}</b> lobby,,,,,,,,,,,,,,,
received_applications,,Received applications,Solicitudes recibidas,Vastaanotetut hakemukset,Empfangene Bewerbungen,,Aplicativos recebidos,Demande(s) reçue(s),,,Alınan başvurular,Otrzymane zgłoszenia,,,,,,,,,,,,,,,
open_lobby_button_on_cooldown,,You recently made another lobby public and can't ,Recientemente has hecho público otro lobby y no puedes,Teit äskettäin toisen aulan julkiseksi etkä voi,Du hast kürzlich eine andere Lobby öffentlich gemacht und kannst nicht,,Você recentemente tornou público outro lobby e não pode,Vous avez récemment rendu public un autre groupe et vous ne pouvez pas faire ça.,,,Yakın zamanda başka bir lobiyi herkese açtınız bu yüzden tekrar yapamazsınız,Niedawno upubliczniłeś inne lobby i nie możesz tego zrobić.,,,,,,,,,,,,,,,
kick_combat_group_member_success,,{0} was successfully kicked from the group,{0} fue expulsado con éxito del grupo,{0} potkaistiin onnistuneesti ulos ryhmästä.,{0} wurde erfolgreich aus der Gruppe gekickt,,{0} foi expulso do grupo com sucesso,{0} a été expulsé du groupe avec succès,,,{0} gruptan başarıyla atıldı,{0} został pomyślnie wyrzucony z grupy,,,,,,,,,,,,,,,
kick_combat_group_member_fail,,{0} couldn't be kicked from the party.<br><br>Either they're not in it or you don't have permission to kick them.,{0} no ha podido ser expulsado del grupo. ¿Ya se han ido?,{0} ei voitu potkaista ryhmästä. Ovatko he jo lähteneet?,{0} konnte nicht aus der Gruppe gekickt werden. Sind sie schon weg?,,{0} não pôde ser expulso do grupo. Eles já saíram?,{0} n'a pas pu être expulsé du groupe. Peux-être à t'il déjà quitté le groupe? ,,,{0} gruptan atılamadı. Çoktan gittiler mi?,{0} nie mógł zostać wyrzucony z grupy. Czy już opuścili grupę?,,,,,,,,,,,,,,,
you_were_kicked_from_group,,You were kicked from the group.,Has sido expulsado del grupo.,Sinut potkaistiin ulos ryhmästä.,Du wurdest aus der Gruppe gekickt.,,Você foi expulso do grupo.,Vous avez été expulsé du groupe !,,,Gruptan atıldınız.,Zostałeś wyrzucony z grupy.,,,,,,,,,,,,,,,
kick_and_block,,Kick & block,Patada y bloqueo,Potkaise & estä,kicken und blockieren,,Expulsar e bloquear,Virer et bloquer du groupe.,,,Tekmele ve engelle,Kopnięcie i blok,,,,,,,,,,,,,,,
mastery_cape_attack_description,,Raises your accuracy in combat by {0}%,Aumenta tu precisión en combate un {0}%.,Nostaa tarkkuuttasi taistelussa {0}%.,Erhöht deine Genauigkeit im Kampf um {0}%.,,Aumenta sua precisão em combate em {0}%,Augmente votre précision au combat de {0}%,,,Savaşta isabet oranınızı {0}% artırır,Zwiększa celność w walce o {0}%.,,,,,,,,,,,,,,,
